Game_ID,Player_ID,MIN,PTS,AST,REB
21100297,977,41:45,14.0,2.0,35.0
21100288,977,42:03,8.0,9.0,27.0
21100268,977,38:56,7.0,6.0,24.0
21100241,977,35:54,8.0,4.0,33.0
11500083,1717,22:44,4.0,3.0,13.0
11500068,1717,18:47,7.0,0.0,6.0
21200921,2544,34:14,10.0,5.0,25.0
21200903,2544,38:13,3.0,2.0,26.0
21200892,2544,34:53,10.0,4.0,20.0
21200880,2544,42:50,11.0,7.0,29.0
