PLAYER_ID,FIRST_NAME,LAST_NAME,DATE_BIRTH,HEIGHT,WEIGHT,JERSEY,POSITION,TEAM_ID,CAREER_PTS,CAREER_AST,CAREER_REB,ALL_STAR_NUM
1628960,Grayson,Allen,1995-10-08,76.0,198.0,3,Guard,1610612763.0,9.5,2.1,3.1,
1628386,Jarrett,Allen,1998-04-21,83.0,243.0,31,Center,1610612739.0,12.9,1.6,9.9,
706,Jerome,Allen,1973-01-28,76.0,184.0,53,Guard,1610612754.0,2.9,1.7,1.1,0.0
1628443,Kadeem,Allen,1993-01-15,73.0,200.0,,Guard,0.0,5.5,2.3,1.5,0.0
202730,Lavoy,Allen,1989-02-04,81.0,260.0,5,Forward-Center,1610612754.0,4.8,1.0,4.8,0.0
76027,Lucius,Allen,1947-09-26,74.0,175.0,42,Guard,1610612749.0,13.4,4.5,3.1,0.0
2124,Malik,Allen,1978-06-27,82.0,255.0,35,Forward,1610612748.0,4.9,0.5,2.8,0.0
76025,Randy,Allen,1965-01-26,80.0,220.0,33,Forward,1610612758.0,3.6,0.3,2.1,0.0
951,Ray,Allen,1975-07-20,77.0,205.0,34,Guard,1610612749.0,18.9,3.4,4.1,10.0
2754,Tony,Allen,1982-01-11,76.0,213.0,,Guard-Forward,0.0,8.1,1.3,3.5,0.0
76029,Odis,Allison,1949-10-02,78.0,195.0,22,Forward,1610612744.0,1.9,0.3,1.3,0.0
200984,Lance,Allred,1981-02-02,83.0,250.0,41,Center,1610612739.0,1.0,0.0,0.3,0.0
76030,Darrell,Allums,1958-09-12,80.0,220.0,32,Forward,1610612742.0,2.7,1.1,3.0,0.0
201165,Morris,Almond,1985-02-02,78.0,225.0,21,Guard,1610612762.0,3.1,0.3,1.2,0.0
308,Derrick,Alston,1972-08-20,83.0,225.0,,Center,0.0,5.4,0.7,3.8,0.0
1747,Rafer,Alston,1976-07-24,74.0,175.0,11,Guard,1610612745.0,10.1,4.8,2.8,0.0
1824,Peter,Aluma,1973-04-26,82.0,260.0,,Center,0.0,1.0,0.0,1.0,0.0
680,John,Amaechi,1970-11-26,82.0,270.0,13,Forward-Center,1610612753.0,6.2,0.8,2.6,0.0
732,Ashraf,Amaya,1971-11-23,80.0,230.0,,Forward,0.0,4.5,0.4,4.2,0.0
202329,Al-Farouq,Aminu,1990-09-21,80.0,220.0,2,Forward,1610612753.0,5.4,1.8,5.1,
200811,Lou,Amundson,1982-12-07,81.0,220.0,17,Forward,1610612756.0,3.7,0.4,3.6,0.0
76034,Bob,Anderegg,1937-08-24,75.0,200.0,18,Forward,1610612752.0,4.0,0.9,2.1,0.0
2365,Chris,Andersen,1978-07-07,82.0,245.0,,Forward-Center,0.0,5.4,0.5,5.0,0.0
2431,David,Andersen,1980-06-23,,,,,0.0,4.9,0.6,2.8,0.0
101187,Alan,Anderson,1982-10-16,78.0,220.0,9,Forward-Guard,1610612751.0,7.3,1.1,2.2,0.0
202079,Antonio,Anderson,1985-06-05,78.0,215.0,,Guard,0.0,2.0,0.0,1.0,0.0
76035,Cliff,Anderson,1944-09-07,74.0,200.0,26,Guard,1610612747.0,3.0,0.8,1.3,0.0
76036,Daniel,Anderson,1951-01-01,74.0,185.0,33,Guard,1610612757.0,3.7,1.7,1.0,0.0
1507,Derek,Anderson,1974-07-18,77.0,195.0,1,Guard,1610612757.0,12.0,3.4,3.2,0.0
76037,Dwight,Anderson,1960-12-28,75.0,185.0,20,Guard,1610612743.0,4.2,0.6,0.4,0.0
944,Eric,Anderson,1970-05-26,81.0,220.0,42,Forward,1610612752.0,1.6,0.2,1.1,0.0
246,Greg,Anderson,1964-06-22,82.0,250.0,0,Center-Forward,1610612759.0,7.3,0.6,6.2,0.0
202341,James,Anderson,1989-03-25,78.0,213.0,5,Guard-Forward,1610612759.0,5.8,1.2,2.3,0.0
76040,Jerome,Anderson,1953-10-09,77.0,195.0,21-23,Guard,1610612754.0,2.6,0.3,0.5,0.0
1626147,Justin,Anderson,1993-11-19,77.0,231.0,10,Forward-Guard,1610612751.0,5.2,0.7,2.5,0.0
72,Kenny,Anderson,1970-10-09,73.0,168.0,,Guard,0.0,12.6,6.1,3.1,1.0
76041,Kim,Anderson,1955-05-12,79.0,200.0,42,Forward,1610612757.0,3.0,0.7,2.1,0.0
203937,Kyle,Anderson,1993-09-20,81.0,230.0,1,Forward-Guard,1610612763.0,12.8,3.4,5.8,
76042,Michael,Anderson,1966-03-23,71.0,184.0,10,Guard,1610612759.0,5.7,4.3,2.5,0.0
76043,Mitchell,Anderson,1960-09-23,80.0,195.0,11,Forward,1610612762.0,4.8,0.7,2.8,0.0
98,Nick,Anderson,1968-01-20,78.0,228.0,5,Forward-Guard,1610612753.0,14.4,2.6,5.1,0.0
76045,Richard,Anderson,1960-11-19,82.0,240.0,35,Forward,1610612757.0,5.6,1.5,3.5,0.0
76046,Ron,Anderson,1958-10-15,79.0,215.0,35,Forward,1610612755.0,10.6,1.4,3.5,0.0
201583,Ryan,Anderson,1988-05-06,81.0,240.0,,Forward,0.0,12.3,0.9,5.3,0.0
1000,Shandon,Anderson,1973-12-31,78.0,215.0,49,Guard-Forward,1610612752.0,7.4,1.4,3.1,0.0
335,Willie,Anderson,1967-01-08,80.0,200.0,35,Guard-Forward,1610612759.0,12.2,3.8,3.8,0.0
76048,Wally,Anderzunas,1946-01-11,79.0,220.0,21,Center,1610612758.0,3.6,0.2,1.9,0.0
101149,Martynas,Andriuskevicius,1986-03-12,86.0,240.0,15,Center,1610612739.0,0.0,0.0,0.7,0.0
76049,Don,Anielak,1930-11-01,79.0,190.0,12,Forward,1610612752.0,3.0,0.0,2.0,0.0
1628387,Ike,Anigbogu,1998-10-16,82.0,250.0,,Center,0.0,0.9,0.1,0.9,0.0
76050,Michael,Ansley,1967-02-08,79.0,225.0,54,Forward,1610612753.0,6.9,0.4,4.2,0.0
1512,Chris,Anstey,1975-01-01,84.0,249.0,22,Center,1610612742.0,5.2,0.8,3.4,0.0
203507,Giannis,Antetokounmpo,1994-12-06,83.0,242.0,34,Forward,1610612749.0,29.0,6.4,11.7,
1628961,Kostas,Antetokounmpo,1997-11-20,82.0,200.0,37,Forward,1610612747.0,1.2,0.0,1.8,
203648,Thanasis,Antetokounmpo,1992-07-18,78.0,219.0,43,Forward,1610612749.0,2.2,0.7,2.0,
2546,Carmelo,Anthony,1984-05-29,79.0,238.0,00,Forward,1610612757.0,14.0,1.7,3.3,
21,Greg,Anthony,1967-11-15,73.0,180.0,50,Guard,1610612752.0,7.3,4.0,1.9,0.0
201202,Joel,Anthony,1982-08-09,81.0,245.0,30,Center,1610612748.0,2.2,0.2,2.8,0.0
203544,Pero,Antic,1982-07-29,83.0,260.0,6,Forward-Center,1610612737.0,6.3,0.9,3.5,0.0
1628384,OG,Anunoby,1997-07-17,79.0,232.0,3,Forward,1610612761.0,14.0,1.6,5.7,
203951,Keith,Appling,1992-02-13,73.0,185.0,,Guard,0.0,1.2,0.2,0.2,0.0
2737,Rafael,Araujo,1980-08-12,83.0,270.0,55,Center,1610612761.0,2.8,0.3,2.8,0.0
76053,Stacey,Arceneaux,1936-02-17,76.0,210.0, ,Forward,1610612737.0,7.1,0.6,4.6,0.0
76054,Nate,Archibald,1948-09-02,73.0,150.0,1,Guard,1610612758.0,18.8,7.4,2.3,6.0
2425,Robert,Archibald,1980-03-29,83.0,250.0,34,Forward,1610612761.0,1.2,0.4,1.6,0.0
1627853,Ryan,Arcidiacono,1994-03-26,75.0,195.0,51,Guard,1610612741.0,3.2,1.2,1.6,
76055,Jim,Ard,1948-09-19,81.0,215.0,34,Center,1610612738.0,3.5,0.7,3.8,0.0
2240,Gilbert,Arenas,1982-01-06,76.0,215.0,10,Guard,1610612764.0,20.7,5.3,3.9,3.0
2772,Trevor,Ariza,1985-06-30,80.0,215.0,0,Forward,1610612748.0,4.0,1.0,3.3,
76056,Paul,Arizin,1928-04-09,76.0,190.0,11,Forward,1610612744.0,22.8,2.3,8.6,9.0
76057,Joe,Arlauckas,1965-07-20,81.0,230.0,53,Forward,1610612758.0,3.8,0.9,1.4,0.0
769,B.J.,Armstrong,1967-09-09,74.0,185.0,11,Guard,1610612741.0,9.8,3.3,1.8,1.0
76061,Bob,Armstrong,1933-06-17,80.0,220.0,19,Center,1610612744.0,1.5,0.2,2.1,0.0
2220,Brandon,Armstrong,1980-06-16,77.0,185.0,1,Guard,1610612751.0,2.2,0.2,0.6,0.0
353,Darrell,Armstrong,1968-06-22,73.0,180.0,10,Guard,1610612753.0,9.2,4.0,2.7,0.0
200756,Hilton,Armstrong,1984-11-23,83.0,235.0,57,Forward-Center,1610612740.0,3.0,0.3,2.6,0.0
76060,Paul,Armstrong,1918-11-01,71.0,170.0,3,Guard,1610612765.0,6.8,2.3,2.3,0.0
76059,Tate,Armstrong,1955-10-05,75.0,175.0,14,Guard,1610612741.0,3.8,1.1,1.0,0.0
76062,Jesse,Arnelle,1933-12-30,77.0,220.0,15-18,Forward,1610612765.0,4.7,0.6,5.5,0.0
76063,Jay,Arnette,1938-12-19,74.0,175.0,21,Guard,1610612758.0,3.7,1.2,1.0,0.0
76064,Bob,Arnzen,1947-11-03,77.0,205.0,21-30,Forward,1610612758.0,5.5,0.4,2.8,0.0
2306,Carlos,Arroyo,1979-07-30,74.0,200.0,45,Guard,1610612753.0,6.6,3.1,1.7,0.0
201589,Darrell,Arthur,1988-03-25,81.0,235.0,00,Forward,1610612743.0,6.5,0.8,3.5,0.0
76065,John,Arthurs,1947-08-15,76.0,185.0,12,Guard,1610612749.0,3.2,1.5,1.3,0.0
1628503,Jamel,Artis,1993-01-12,79.0,213.0,0,Guard,1610612753.0,5.1,1.2,2.5,0.0
201600,Omer,Asik,1986-07-04,84.0,255.0,3,Center,1610612740.0,5.3,0.6,7.1,0.0
355,Vincent,Askew,1966-02-28,78.0,210.0,,Guard,0.0,7.1,2.2,2.5,0.0
173,Keith,Askins,1967-12-15,80.0,215.0,2,Forward-Guard,1610612748.0,3.8,0.8,2.9,0.0
76068,Don,Asmonga,1928-02-15,74.0,185.0,,Guard,1610610024.0,0.7,0.7,0.1,0.0
76069,Richard,Atha,1931-09-21,74.0,190.0,7,Guard,1610612752.0,3.2,1.2,1.5,0.0
1088,Chucky,Atkins,1974-08-14,71.0,185.0,17,Guard,1610612765.0,9.9,3.4,1.7,0.0
76070,Alvin,Attles,1936-11-07,73.0,175.0,16,Guard,1610612744.0,8.9,3.5,3.5,0.0
76071,Chet,Aubuchon,1916-05-08,70.0,137.0,,Guard,1610610028.0,2.2,0.7,,0.0
278,Stacey,Augmon,1968-08-01,80.0,213.0,2,Forward-Guard,1610612737.0,8.0,1.6,3.2,0.0
201571,D.J.,Augustin,1987-11-10,71.0,183.0,14,Guard,1610612745.0,6.1,3.0,1.4,
200788,James,Augustine,1984-02-27,82.0,235.0,40,Forward,1610612753.0,1.6,0.1,1.2,0.0
1134,Ike,Austin,1969-08-18,82.0,288.0,,Center,0.0,7.6,1.2,4.7,0.0
76073,John,Austin,1944-08-31,72.0,170.0,34,Guard,1610612764.0,5.8,1.0,1.8,0.0
76074,Ken,Austin,1961-07-15,81.0,205.0,34,Forward,1610612765.0,1.7,0.1,0.4,0.0
138,Anthony,Avent,1969-10-18,81.0,240.0,30,Center,1610612749.0,5.6,0.8,4.5,0.0
76076,William,Averitt,1952-07-22,74.0,170.0,15,Guard,1610612746.0,8.3,2.5,1.2,0.0
1895,William,Avery,1979-08-08,74.0,180.0,30,Guard,1610612750.0,2.7,1.4,0.7,0.0
76078,Dennis,Awtrey,1948-02-22,82.0,235.0,20,Center,1610612756.0,4.8,2.0,4.6,0.0
202970,Gustavo,Ayon,1985-04-01,,,,,0.0,4.7,1.3,4.4,0.0
201965,Jeff,Ayres,1987-04-29,81.0,250.0,19,Forward-Center,1610612759.0,2.9,0.4,2.7,0.0
1629028,Deandre,Ayton,1998-07-23,83.0,250.0,22,Center,1610612756.0,14.5,1.6,11.0,
