22000995,1,2020,113,97,1610612743,1610612752
22000996,1,2020,126,94,1610612762,1610612759
22000983,0,2020,118,134,1610612739,1610612756
22000984,0,2020,99,102,1610612765,1610612766
22000985,1,2020,124,118,1610612749,1610612751
22000986,0,2020,113,127,1610612748,1610612742
22000987,1,2020,108,103,1610612740,1610612744
22000988,0,2020,99,103,1610612760,1610612758
22000989,1,2020,105,100,1610612746,1610612761
22000975,0,2020,112,119,1610612765,1610612753
22000976,1,2020,154,141,1610612764,1610612754
22000977,0,2020,108,123,1610612740,1610612744
22000978,1,2020,123,114,1610612737,1610612757
22000979,0,2020,94,106,1610612741,1610612755
22000980,0,2020,104,118,1610612763,1610612752
22000981,1,2020,110,99,1610612762,1610612759
22000982,1,2020,93,89,1610612747,1610612743
22000967,1,2020,117,114,1610612749,1610612751
22000968,0,2020,119,129,1610612738,1610612757
22000969,0,2020,111,121,1610612766,1610612748
22000970,0,2020,99,111,1610612742,1610612758
22000971,0,2020,97,122,1610612745,1610612752
22000972,0,2020,120,123,1610612760,1610612756
22000973,0,2020,111,113,1610612759,1610612755
22000974,0,2020,114,121,1610612747,1610612761
22000957,1,2020,107,94,1610612766,1610612765
22000958,0,2020,87,113,1610612745,1610612744
22000959,1,2020,108,97,1610612737,1610612741
22000960,0,2020,107,124,1610612739,1610612748
22000961,1,2020,112,111,1610612753,1610612763
22000962,0,2020,136,140,1610612750,1610612740
22000963,0,2020,95,152,1610612760,1610612754
22000964,1,2020,125,124,1610612742,1610612764
22000965,1,2020,106,102,1610612762,1610612761
22000966,0,2020,104,110,1610612746,1610612743
22000949,1,2020,126,104,1610612755,1610612737
22000950,1,2020,143,140,1610612738,1610612759
22000951,0,2020,93,122,1610612739,1610612764
22000952,0,2020,109,128,1610612751,1610612757
22000953,1,2020,92,75,1610612763,1610612753
22000954,0,2020,98,108,1610612741,1610612749
22000955,1,2020,121,100,1610612756,1610612762
22000956,0,2020,106,110,1610612747,1610612758
22000943,0,2020,105,115,1610612765,1610612742
22000944,0,2020,113,130,1610612754,1610612751
22000945,1,2020,143,136,1610612745,1610612749
22000946,1,2020,126,114,1610612750,1610612744
22000947,0,2020,95,109,1610612760,1610612740
22000948,1,2020,121,111,1610612743,1610612761
22000933,0,2020,104,109,1610612739,1610612753
22000934,1,2020,127,83,1610612755,1610612737
22000935,1,2020,116,107,1610612764,1610612747
22000936,1,2020,120,111,1610612738,1610612766
22000937,1,2020,113,94,1610612752,1610612741
22000938,1,2020,116,111,1610612748,1610612759
22000939,0,2020,109,130,1610612763,1610612757
22000940,1,2020,114,112,1610612743,1610612740
22000941,1,2020,109,101,1610612756,1610612746
22000942,0,2020,105,154,1610612758,1610612762
22000927,0,2020,115,119,1610612738,1610612760
22000928,0,2020,104,114,1610612766,1610612749
22000929,0,2020,112,133,1610612754,1610612757
22000930,0,2020,103,116,1610612761,1610612751
22000931,0,2020,107,114,1610612745,1610612750
22000932,0,2020,103,133,1610612744,1610612742
22000916,1,2020,100,86,1610612765,1610612737
22000917,0,2020,103,114,1610612753,1610612747
22000918,1,2020,121,90,1610612755,1610612760
22000919,0,2020,143,146,1610612764,1610612759
22000920,0,2020,110,118,1610612752,1610612756
22000921,1,2020,112,96,1610612761,1610612739
22000922,0,2020,102,110,1610612748,1610612741
22000923,1,2020,105,104,1610612750,1610612762
22000924,1,2020,120,103,1610612740,1610612746
22000925,1,2020,120,96,1610612743,1610612763
22000926,1,2020,113,106,1610612758,1610612742
22000911,1,2020,125,104,1610612766,1610612738
22000912,1,2020,128,119,1610612751,1610612756
22000240,0,2020,113,120,1610612757,1610612763
22000197,1,2020,119,110,1610612764,1610612739
22000913,1,2020,111,104,1610612737,1610612749
22000914,0,2020,112,131,1610612753,1610612754
