76473,"(Dillard,Crocker)",1925/1/19,76,205,7,Forward,1610612737,"{8.8,1.3,2.2}",0
76506,"(Henry,Darcey)",1930/3/3,79,217,10,Center,1610612737,"{0.9,0.2,0.8}",0
76525,"(Jim,Davis)",1941/12/18,81,225,20,Center,1610612737,"{6.7,1.2,5.2}",0
76551,"(Nate,DeLong)",1926/1/5,78,220,21,Center,1610612737,"{3.8,0.8,1.8}",0
76562,"(Hank,DeZonie)",1922/2/12,77,215,10,Forward,1610612737,"{3.4,1.8,3.6}",0
203473,"(Dewayne,Dedmon)",1989/8/12,84,245,14,Center,1610612737,"{6.4,0.7,6}",0
1627098,"(Malcolm,Delaney)",1989/3/11,75,190,5,Guard,1610612737,"{5.7,2.8,1.8}",0
76558,"(Randy,Denton)",1949/2/18,82,240,34,Center,1610612737,"{5.3,0.7,4.8}",0
2424,"(Dan,Dickau)",1978/9/16,72,180,10,Guard,1610612737,"{5.8,2.5,1.4}",0
76578,"(Fred,Diute)",1929/1/9,75,210,4,Guard,1610612737,"{1.6,0.6,1.9}",0
76598,"(John,Drew)",1954/9/30,78,205,22,Forward,1610612737,"{20.7,1.7,6.9}",2
1627739,"(Kris,Dunn)",1994/3/18,75,205,32,Guard,1610612737,"{7.3,3.4,3.6}",
76626,"(Gene,Dyker)",1930/2/17,78,225,5,Forward,1610612737,"{1.5,0.5,1.5}",0
346,"(Doug,Edwards)",1971/1/21,79,235,32,Forward,1610612737,"{2.4,0.7,1.8}",0
2823,"(John,Edwards)",1981/7/31,84,275,54,Center,1610612737,"{1.5,0.1,1}",0
2230,"(Maurice,Evans)",1978/11/8,77,220,6,Guard-Forward,1610612737,"{6.7,0.7,2.5}",0
76694,"(Mike,Farmer)",1936/9/26,79,210,12,Forward,1610612737,"{6.7,1.3,4.6}",0
1628981,"(Bruno,Fernando)",1998/8/15,81,240,24,Forward-Center,1610612737,"{1.5,0.4,3}",
76708,"(Al,Ferrari)",1933/7/6,76,190,22,Guard,1610612737,"{6.8,2.5,2.2}",0
273,"(Duane,Ferrell)",1965/2/28,79,215,33,Forward,1610612737,"{6.4,0.9,1.9}",0
201568,"(Danilo,Gallinari)",1988/8/8,82,233,8,Forward,1610612737,"{12.8,1.5,3.9}",
201242,"(Thomas,Gardner)",1985/2/8,77,225,3,Guard,1610612737,"{2.3,0.2,0.6}",0
76797,"(Ed,Gayda)",1927/5/11,76,210,10,Guard,1610612737,"{3.9,0.9,2.7}",0
76815,"(Herm,Gilliam)",1946/5/5,75,190,3,Guard,1610612737,"{10.8,3.8,3.8}",0
76819,"(Jack,Givens)",1956/9/21,77,205,21,Forward,1610612737,"{6.7,0.9,2.9}",0
76822,"(Mike,Glenn)",1955/9/10,74,175,10,Guard,1610612737,"{7.6,1.6,1.2}",0
1629164,"(Brandon,Goodwin)",1995/10/2,72,180,0,Guard,1610612737,"{3.9,1.6,1}",
76839,"(Ricky,Grace)",1967/8/20,73,180,15,Guard,1610612737,"{1.3,0.3,0.3}",0
76842,"(Paul,Graham)",1967/11/28,78,200,25,Guard,1610612737,"{8.4,2,2.4}",0
1626203,"(Treveon,Graham)",1993/10/28,77,219,2,Guard-Forward,1610612737,"{4.2,0.8,2.2}",0
1516,"(Ed,Gray)",1975/9/27,75,210,22,Guard,1610612737,"{6.2,0.8,1.2}",0
101219,"(Anthony,Grundy)",1979/4/15,75,185,16,Guard,1610612737,"{4.3,0.8,1.4}",0
76912,"(Cliff,Hagan)",1931/12/9,76,210,16,Forward,1610612737,"{18,3,6.9}",4
76923,"(Jeff,Halliburton)",1949/7/3,77,193,42,Guard,1610612737,"{6.1,1.3,1.6}",0
2580,"(Travis,Hansen)",1978/4/15,78,205,6,Guard-Forward,1610612737,"{3,0.5,1.7}",0
76951,"(Skip,Harlicka)",1946/10/14,73,185,21,Guard,1610612737,"{4.1,1.4,0.6}",0
76968,"(Scott,Hastings)",1960/6/3,82,235,10,Forward,1610612737,"{2.8,0.5,2.2}",0
76971,"(Steve,Hawes)",1950/5/26,81,220,10,Center,1610612737,"{8.4,1.9,6.2}",0
76983,"(Walt,Hazzard)",1942/4/15,74,185,42,Guard,1610612737,"{12.6,4.9,3}",1
673,"(Alan,Henderson)",1972/12/2,81,240,44,Forward-Center,1610612737,"{7.8,0.6,5}",0
77024,"(Armond,Hill)",1953/3/31,76,190,24,Guard,1610612737,"{6.9,4.7,2}",0
77025,"(Cleo,Hill)",1938/5/24,73,185,24,Guard,1610612737,"{5.5,2,3.1}",0
203524,"(Solomon,Hill)",1991/3/18,78,226,18,Forward,1610612737,"{4.2,0.9,2.3}",
77064,"(Tom,Hovasse)",1967/1/31,80,205,17,Forward,1610612737,"{0,0,0}",0
77074,"(Lou,Hudson)",1944/7/11,77,210,23,Forward,1610612737,"{20.2,2.7,4.4}",6
1628989,"(Kevin,Huerter)",1998/8/27,79,190,3,Guard-Forward,1610612737,"{11.9,3.6,3.7}",
1629353,"(Isaac,Humphries)",1998/1/5,84,260,8,Center,1610612737,"{3,0,2.2}",0
1629631,"(De'Andre,Hunter)",1997/12/2,80,225,12,Forward-Guard,1610612737,"{16.7,2.2,5.2}",
77094,"(Tom,Ingelsby)",1951/2/12,75,180,24,Guard,1610612737,"{2.7,0.8,0.9}",0
203098,"(John,Jenkins)",1991/3/6,76,215,30,Guard,1610612737,"{5,0.8,1.5}",0
77144,"(Eddie,Johnson)",1955/2/24,74,180,15,Guard,1610612737,"{15.1,5.1,2.3}",2
201274,"(Ivan,Johnson)",1984/4/10,80,255,44,Forward,1610612737,"{6.5,0.6,3.9}",0
2207,"(Joe,Johnson)",1981/6/29,79,240,7,Guard-Forward,1610612737,"{16,3.9,4}",6
77278,"(Walt,Kirk)",1924/9/3,75,173,16,Guard,1610612737,"{7.7,2.1,4}",0
402,"(Jon,Koncak)",1963/5/17,84,250,45,Center,1610612737,"{4.5,1,4.9}",0
77327,"(Fred,LaCour)",1938/2/7,77,210,12,Guard,1610612737,"{6.5,1.9,3.3}",0
1627746,"(Skal,Labissiere)",1996/3/18,82,235,7,Forward-Center,1610612737,"{7.2,1,4.5}",0
201151,"(Acie,Law)",1985/1/25,75,202,2,Guard,1610612737,"{3.9,1.6,1}",0
77356,"(Butch,Lee)",1956/12/5,72,185,15,Guard,1610612737,"{8.1,3.2,1.4}",0
77369,"(George,Lehmann)",1942/5/1,72,180,20,Guard,1610612737,"{3.2,1.8,0.8}",0
77377,"(Cliff,Levingston)",1961/1/4,80,210,53,Forward,1610612737,"{7.1,0.9,5.2}",0
1731,"(Tyronn,Lue)",1977/5/3,72,175,10,Guard,1610612737,"{8.5,3.1,1.7}",0
77430,"(Ronnie,MacGilvray)",1930/7/20,74,185,8,Guard,1610612737,"{1.3,1.8,1.5}",0
77435,"(Rudy,Macklin)",1958/2/19,79,205,41,Forward,1610612737,"{6.4,0.8,2.9}",0
77460,"(Roy,Marble)",1966/12/13,78,190,5,Guard,1610612737,"{1.9,0.4,1.1}",0
77477,"(Phil,Martin)",1928/4/2,75,190,6,Guard,1610612737,"{1.7,0.9,1.4}",0
77482,"(Al,Masino)",1928/2/5,70,174,12,Guard,1610612737,"{4.8,1.8,2.1}",0
77484,"(Wes,Matthews)",1959/8/24,73,170,1,Guard,1610612737,"{7.9,4.2,1.3}",0
77489,"(Don,May)",1946/1/3,76,200,23,Forward,1610612737,"{8.8,1,3.5}",0
77499,"(Ken,McBride)",1905/4/14,75,190,4,Forward,1610612737,"{9.8,1.2,2.6}",0
77506,"(Johnny,McCarthy)",1934/4/25,73,185,21,Guard,1610612737,"{7.8,3.7,3.6}",0
77513,"(John,McConathy)",1930/4/9,77,195,15,Forward,1610612737,"{1.3,0.7,1.8}",0
77551,"(Jack,McMahon)",1928/12/3,73,185,21,Guard,1610612737,"{8.1,3.7,2.7}",0
77553,"(Tom,McMillen)",1952/5/26,83,215,54,Forward,1610612737,"{8.1,1.1,4}",0
77563,"(Carl,McNulty)",1930/2/14,75,185,6,Guard,1610612737,"{2,0,0}",0
77601,"(Jay,Miller)",1943/7/19,77,205,12,Forward,1610612737,"{2.6,0.1,0.8}",0
77610,"(Dave,Minor)",1922/2/23,74,185,8,Guard,1610612737,"{7.6,2.5,4.5}",0
77628,"(Rodney,Monroe)",1968/4/16,75,185,12,Guard,1610612737,"{3.4,0.7,0.9}",0
201043,"(Randolph,Morris)",1986/1/2,83,275,33,Center,1610612737,"{1.9,0.1,1.4}",0
2069,"(Hanno,Mottola)",1976/9/9,83,247,13,Center-Forward,1610612737,"{4.6,0.5,2.9}",0
942,"(Todd,Mundt)",1970/5/17,84,255,51,Center,1610612737,"{1.1,0.1,0.8}",0
77690,"(Howard,Nathan)",1972/1/21,71,175,14,Guard,1610612737,"{2.6,0.4,0}",0
1096,"(Ivano,Newbill)",1970/12/12,82,245,40,Center,1610612737,"{1.5,0.4,2.6}",0
77727,"(Robert,Nordmann)",1939/12/11,82,225,34,Center,1610612737,"{4.3,0.5,3.9}",0
77742,"(John,O'Boyle)",1928/3/7,74,185,3,Guard,1610612737,"{4.2,1,2}",0
77766,"(Grady,O'Malley)",1948/4/25,77,205,12,Forward,1610612737,"{2.1,0.4,1.1}",0
77778,"(Don,Otten)",1921/4/18,82,240,14,Center,1610612737,"{10.5,1.4,6}",0
77799,"(Medford,Park)",1933/4/11,74,205,14,Guard,1610612737,"{6.1,1.7,3.1}",0
77814,"(Worthy,Patterson)",1931/6/17,74,175,17,Guard,1610612737,"{1.8,0.5,0.5}",0
77821,"(Johnny,Payak)",1926/11/20,76,174,6,Guard,1610612737,"{6.3,1.9,1.7}",0
77823,"(Tom,Payne)",1950/11/19,86,240,54,Center,1610612737,"{4.1,0.5,2.4}",0
77829,"(Sam,Pellom)",1951/10/2,81,225,41,Forward,1610612737,"{4.4,0.5,3.5}",0
77834,"(Warren,Perkins)",1924/2/2,75,190,11,Guard,1610612737,"{6.1,2,4.8}",0
77847,"(Bob,Pettit)",1932/12/12,81,205,9,Forward,1610612737,"{26.4,3,16.2}",11
77861,"(John,Pinone)",1961/2/19,80,230,33,Forward,1610612737,"{2.9,0.4,1.4}",0
203101,"(Miles,Plumlee)",1988/9/1,83,249,18,Center,1610612737,"{4.9,0.5,4.5}",0
1627816,"(Alex,Poythress)",1993/9/6,81,235,22,Forward,1610612737,"{3.8,0.5,2.3}",0
1629629,"(Cam,Reddish)",1999/9/1,80,218,22,Forward-Guard,1610612737,"{11.2,1.3,4}",
200978,"(Jeremy,Richardson)",1984/3/1,79,195,32,Guard-Forward,1610612737,"{1.9,0.1,0.6}",0
77963,"(Bob,Riley)",1948/7/6,81,235,12,Forward,1610612737,"{1.9,0.1,1.7}",0
470,"(Doc,Rivers)",1961/10/13,76,210,25,Guard,1610612737,"{10.9,5.7,3}",1
77983,"(Tony,Robertson)",1956/1/1,76,195,25,Guard,1610612737,"{5.5,1.4,1.1}",0
1683,"(Larry,Robinson)",1968/1/11,75,180,25,Guard,1610612737,"{4.5,0.9,1.9}",0
716,"(Rumeal,Robinson)",1966/11/13,74,195,20,Guard,1610612737,"{7.6,3.5,1.8}",0
78014,"(Tree,Rollins)",1955/6/16,85,235,30,Center,1610612737,"{5.4,0.6,5.8}",0
200765,"(Rajon,Rondo)",1986/2/22,73,180,7,Guard,1610612737,"{3.9,3.5,2}",
78025,"(Dan,Roundfield)",1953/5/26,80,205,5,Forward,1610612737,"{15.2,2.2,9.7}",1
78072,"(Bob,Schafer)",1905/4/16,75,195,27,Guard,1610612737,"{4.1,1,1.3}",0
78125,"(Charlie,Share)",1927/3/14,83,235,13,Center,1610612737,"{8.3,1.4,8.4}",0
78132,"(Craig,Shelton)",1957/5/1,79,210,11,Forward,1610612737,"{4.1,0.5,2.4}",0
78151,"(Paul,Silas)",1943/7/12,79,220,36,Forward,1610612737,"{9.4,2.1,9.9}",2
78160,"(Bob,Sims)",1938/10/9,77,220,12,Forward,1610612737,"{7.8,2.4,2.8}",0
2764,"(Donta,Smith)",1983/11/27,79,215,15,Guard,1610612737,"{2.7,0.8,1.1}",0
1910,"(Leon,Smith)",1980/11/2,82,235,35,Forward,1610612737,"{2.2,0.2,2.2}",0
120,"(Steven,Smith)",1969/3/31,80,221,8,Guard-Forward,1610612737,"{14.3,3.1,3.2}",1
203503,"(Tony,Snell)",1991/11/10,78,213,19,Guard,1610612737,"{5.6,1.4,2.3}",
78217,"(Mike,Sojourner)",1953/10/16,81,225,40,Center,1610612737,"{8.7,0.9,6.5}",0
78249,"(Jack,Stephens)",1933/5/18,75,185,15,Guard,1610612737,"{10.3,2.9,5.2}",0
78256,"(Norm,Stewart)",1935/1/20,77,205,22,Forward,1610612737,"{2,0.4,1}",0
78278,"(Don,Sunderlage)",1929/12/20,73,180,18,Guard,1610612737,"{7.7,2,2.5}",1
78280,"(Dick,Surhoff)",1929/11/16,76,210,6,Forward,1610612737,"{3.1,0.6,1.6}",0
202377,"(Pape,Sy)",1988/4/5,79,225,19,Forward-Guard,1610612737,"{2.3,0.7,1}",0
204002,"(Edy,Tavares)",1992/3/22,87,265,40,Center,1610612737,"{2.5,0.3,2.5}",0
1627819,"(Isaiah,Taylor)",1994/7/11,75,170,22,Guard,1610612737,"{6.3,2.9,1.4}",0
78308,"(Claude,Terry)",1950/1/12,77,195,12,Guard,1610612737,"{4,0.9,0.8}",0
78346,"(Marko,Todorovich)",1923/6/11,77,220,19,Forward,1610612737,"{11,2.9,6.9}",0
78352,"(Sedric,Toney)",1962/4/13,74,178,4,Guard,1610612737,"{3.7,2.1,0.9}",0
78358,"(Gene,Tormohlen)",1937/5/12,80,230,34,Center,1610612737,"{4.4,0.9,4.1}",0
78370,"(John,Tschogl)",1950/4/25,78,206,26,Forward,1610612737,"{2.5,0.6,1.8}",0
78397,"(John,Vallely)",1948/10/3,75,185,33,Guard,1610612737,"{3.6,0.8,0.7}",0
78409,"(Charles,Vaughn)",1940/2/19,75,190,10,Guard,1610612737,"{9,2.3,2.2}",0
78421,"(Alexander,Volkov)",1964/3/29,82,218,8,Center,1610612737,"{6.8,2.2,2.6}",0
78466,"(Jim,Washington)",1943/7/1,79,210,12,Forward,1610612737,"{10.6,1.4,8.6}",0
201238,"(Mario,West)",1984/6/19,77,210,6,Guard,1610612737,"{1,0.3,0.9}",0
78501,"(John,Wetzel)",1944/10/22,77,190,25,Guard,1610612737,"{3.4,1.4,1.9}",0
78508,"(Herb,White)",1948/6/15,74,195,34,Guard,1610612737,"{2.4,1.2,1.3}",0
1628510,"(Andrew,White III)",1993/6/16,79,210,4,Forward,1610612737,"{4.6,0.4,2.3}",0
78530,"(Lenny,Wilkens)",1937/10/28,73,180,19,Guard,1610612737,"{16.5,6.7,4.7}",9
1122,"(Dominique,Wilkins)",1960/1/12,80,230,21,Forward,1610612737,"{24.8,2.5,6.7}",8
200749,"(Shelden,Williams)",1983/10/21,81,250,33,Center-Forward,1610612737,"{4.5,0.5,4.3}",0
788,"(Kevin,Willis)",1962/9/6,84,245,45,Center-Forward,1610612737,"{12.1,0.9,8.4}",1
78586,"(Bob,Wilson)",1926/3/8,76,185,12,Guard,1610612737,"{3.7,1.7,3.3}",0
78583,"(Rick,Wilson)",1956/2/7,76,200,42,Guard,1610612737,"{2.9,1.3,1.2}",0
1456,"(Randy,Wittman)",1959/10/28,78,210,14,Guard,1610612737,"{7.4,2.2,1.4}",0
1629027,"(Trae,Young)",1998/9/19,73,180,11,Guard,1610612737,"{25.7,9.4,4.1}",
76017,"(Danny,Ainge)",1959/3/17,77,175,22,Guard,1610612738,"{11.5,4,2.7}",1
76055,"(Jim,Ard)",1948/9/19,81,215,34,Center,1610612738,"{3.5,0.7,3.8}",0
203569,"(Chris,Babb)",1990/2/14,77,225,52,Guard,1610612738,"{1.6,0.2,1.2}",0
2556,"(Marcus,Banks)",1981/11/19,74,205,15,Guard,1610612738,"{5.9,2.1,1.5}",0
76102,"(Don,Barksdale)",1923/3/31,78,200,17,Forward,1610612738,"{11,2.1,8}",1
76105,"(Jim,Barnes)",1941/4/13,80,210,12,Center,1610612738,"{8.8,0.8,6.5}",0
101138,"(Brandon,Bass)",1985/4/30,80,250,30,Forward,1610612738,"{8.7,0.8,4.5}",0
1499,"(Tony,Battie)",1976/2/11,83,240,4,Center,1610612738,"{6.1,0.6,5.1}",0
1628444,"(Jabari,Bird)",1994/7/3,78,198,26,Guard,1610612738,"{3,0.6,1.5}",0
1449,"(Larry,Bird)",1956/12/7,81,220,33,Forward,1610612738,"{24.3,6.3,10}",10
1806,"(James,Blackwell)",1968/2/25,72,190,8,Guard,1610612738,"{1.4,0.8,0.8}",0
1548,"(Mark,Blount)",1975/11/30,84,250,15,Center-Forward,1610612738,"{8.2,0.8,4.6}",0
76201,"(Ron,Bonham)",1942/5/31,76,192,21,Forward,1610612738,"{6.3,0.4,1.5}",0
76213,"(Tom,Boswell)",1953/10/2,80,220,33,Forward,1610612738,"{7.7,1.6,4.7}",0
76230,"(Charles,Bradley)",1959/5/16,77,215,30,Guard,1610612738,"{3.2,0.5,1.1}",0
76238,"(Bob,Brannum)",1925/5/28,78,215,18,Forward,1610612738,"{7.3,2.1,7}",0
2452,"(J.R.,Bremer)",1980/9/19,74,185,9,Guard,1610612738,"{6.5,2.2,1.8}",0
1627759,"(Jaylen,Brown)",1996/10/24,78,223,7,Guard-Forward,1610612738,"{24.7,3.9,5.6}",
675,"(Junior,Burrough)",1973/1/18,80,242,5,Forward,1610612738,"{3.1,0.2,1.8}",0
76342,"(Rick,Carlisle)",1959/10/27,77,210,12,Guard,1610612738,"{2.2,1.1,0.8}",0
76351,"(M.L.,Carr)",1951/1/9,78,205,30,Forward,1610612738,"{9.7,1.8,4.3}",0
76379,"(Don,Chaney)",1946/3/22,77,210,12,Guard,1610612738,"{8.4,2.1,3.9}",0
76398,"(Carlos,Clark)",1960/8/10,76,210,40,Guard,1610612738,"{2.4,0.7,0.9}",0
1127,"(Charles,Claxton)",1970/12/13,84,265,51,Center,1610612738,"{0.7,0,0.7}",0
76409,"(Ben,Clyde)",1951/6/10,79,198,33,Forward,1610612738,"{2.8,0.2,1.6}",0
76428,"(Gene,Conley)",1930/11/10,80,225,5,Center,1610612738,"{5.9,0.6,6.3}",0
76442,"(Chuck,Cooper)",1926/9/29,77,210,6,Forward,1610612738,"{6.7,1.8,5.9}",0
600003,"(Bob,Cousy)",1928/8/9,73,175,14,Guard,1610612738,"{18.4,7.5,5.2}",13
76462,"(Dave,Cowens)",1948/10/25,81,230,18,Center,1610612738,"{17.6,3.8,13.6}",6
201175,"(Glen,Davis)",1986/1/1,81,289,0,Forward-Center,1610612738,"{8,0.9,4.4}",0
76565,"(Dick,Dickey)",1926/10/26,73,175,23,Guard,1610612738,"{2.8,1.1,1.8}",0
76584,"(Bob,Donham)",1926/10/11,74,190,12,Guard,1610612738,"{6.7,2.6,3.9}",0
76594,"(Steve,Downing)",1950/9/9,80,225,32,Center,1610612738,"{2.4,0.4,1.5}",0
1041,"(Nate,Driggers)",1973/10/12,77,215,27,Guard-Forward,1610612738,"{2.4,0.4,1.5}",0
768,"(Acie,Earl)",1970/6/23,83,240,55,Forward-Center,1610612738,"{5.1,0.3,2.7}",0
1629035,"(Carsen,Edwards)",1998/3/12,71,200,4,Guard,1610612738,"{5.1,0.6,1.1}",
201623,"(Semih,Erden)",1986/7/28,84,240,9,Center,1610612738,"{3.8,0.4,2.8}",0
1629605,"(Tacko,Fall)",1995/12/10,89,311,99,Center,1610612738,"{2.9,0.2,2.4}",
203543,"(Vitor,Faverani)",1988/5/5,83,260,38,Center,1610612738,"{4.4,0.4,3.5}",0
76707,"(Eric,Fernsten)",1953/11/1,82,205,45,Center,1610612738,"{2.4,0.4,1.7}",0
76716,"(Hank,Finkel)",1942/4/20,84,240,29,Center,1610612738,"{5.1,0.8,3.9}",0
201592,"(J.R.,Giddens)",1985/2/13,77,215,4,Guard,1610612738,"{1.9,0.3,1.4}",0
76825,"(Clarence,Glover)",1947/11/1,80,210,28,Forward,1610612738,"{2.6,0.2,1.8}",0
76843,"(Mal,Graham)",1945/2/23,73,185,11,Guard,1610612738,"{4.7,1.1,1.7}",0
97,"(Ronnie,Grandison)",1964/7/9,78,220,20,Forward,1610612738,"{2.4,0.6,1.6}",0
1629750,"(Javonte,Green)",1993/7/23,76,205,43,Guard-Forward,1610612738,"{4.2,0.4,2.1}",
76900,"(Gene,Guarilia)",1937/9/13,77,220,20,Forward,1610612738,"{3.2,0.3,2.3}",0
984,"(Steve,Hamer)",1973/11/13,84,245,42,Center,1610612738,"{2.2,0.2,1.7}",0
76936,"(Phil,Hankinson)",1951/7/26,80,195,20,Forward,1610612738,"{3.9,0.2,1.8}",0
1682,"(Reggie,Hanson)",1968/10/8,80,195,34,Forward,1610612738,"{0.8,0.1,0.8}",0
76959,"(Bob,Harris)",1927/3/16,79,195,13,Forward,1610612738,"{6.8,1.5,6.9}",0
76961,"(Tony,Harris)",1967/5/13,75,190,43,Guard,1610612738,"{4.9,0.6,0.8}",0
